PMTID p0 p1 p2
332 17.9494 3.08921 -0.12284
#334 6.65279 3.0573 -0.464513
335 16.4242 3.08571 -0.124721
336 13.721 3.08235 -0.13353
#337 436.627 -31.3163 -36.6388
338 9.01108 3.17324 -0.276284
#339 6.13545 2.90173 -0.481356
#340 6.07495 2.93731 -0.58905
341 18.7845 3.09664 -0.131054
343 12.7656 3.10667 -0.147391
#344 6.12638 2.94238 -0.635735
347 17.4949 3.10749 -0.149153
348 17.8983 3.09234 -0.128647
350 17.669 3.0891 -0.122669
351 19.3944 3.08944 -0.120724
353 8.42911 3.02959 0.102787
354 15.5926 3.11266 -0.169246
355 10.2884 3.09107 -0.185135
356 7.64417 3.08218 0.168945
357 16.2161 3.11699 -0.166343
358 9.00471 3.08268 -0.171877
359 14.4175 3.06029 -0.109384
360 11.9095 3.10645 -0.184231
361 8.17247 3.06593 -0.167536
362 12.949 3.09306 -0.154836
363 13.3929 3.09998 -0.158945
364 10.4909 3.10289 -0.197985
365 9.11282 3.0788 -0.185299
366 7.43345 3.05244 0.15814
367 14.3723 3.11048 -0.169921
368 15.1638 3.12091 -0.179567
369 7.85564 3.06208 -0.175745
370 10.406 3.09483 -0.182604
371 14.3153 3.11991 -0.184283
372 20.8594 3.10104 -0.134912
373 19.36 3.09268 -0.127957
374 20.2707 3.10777 -0.144493
375 19.384 3.0922 -0.125659
376 17.9304 3.1021 -0.144849
377 18.711 3.09601 -0.13753
378 17.4338 3.1013 -0.144337
379 20.6701 3.10214 -0.139123
380 18.8799 3.08895 -0.123302
381 18.0276 3.10058 -0.140683
382 19.0526 3.16994 -0.212781
383 19.2612 3.09715 -0.137064
384 21.2208 3.10823 -0.14093
385 20.2778 3.09937 -0.134291
386 18.6713 3.09901 -0.137965
387 19.5719 3.10468 -0.149018
388 16.293 3.09538 -0.139371
389 20.4549 3.10407 -0.137232
390 17.1516 3.08933 -0.127157
391 16.673 3.10151 -0.145288
392 19.6285 3.10921 -0.145459
393 24.4723 3.17837 -0.203509
394 19.4412 3.10963 -0.147134
395 22.5751 3.10263 -0.137148
396 21.0331 3.10057 -0.138055
397 19.1849 3.10283 -0.142099
398 18.0316 3.09178 -0.129804
399 18.707 3.10951 -0.150202
400 18.1845 3.09103 -0.126774
401 17.1005 3.10028 -0.140015
402 17.3026 3.0921 -0.130513
403 14.9342 3.08219 -0.122969
404 17.604 3.17587 -0.216896
405 11.9996 3.14612 -0.209651
406 18.1137 3.11116 -0.154772
407 18.8641 3.09702 -0.130414
409 18.4361 3.09934 -0.140618
410 17.2315 3.10588 -0.149666
411 15.0428 3.10058 -0.145661
412 19.0307 3.10149 -0.138611
413 19.0157 3.09348 -0.12776
414 20.8107 3.09968 -0.132717
415 16.9133 3.08793 -0.12344
417 19.8372 3.06649 -0.112973
418 21.1259 3.0529 -0.11648
419 18.1834 3.06772 -0.107166
#420 6.77937 3.09534 -0.685827
421 18.8051 3.06274 -0.115982
422 19.4887 3.05639 -0.115288
423 20.4322 3.05482 -0.111278
424 20.5963 3.06444 -0.114702
425 17.2319 3.07462 -0.121441
426 28.5265 3.07966 -0.105101
427 25.0327 3.08312 -0.105622
428 17.9017 3.06745 -0.120512
429 25.8197 3.07913 -0.112184
430 21.8404 3.054 -0.115126
432 18.5381 3.06253 -0.112199
433 25.4477 3.07794 -0.109646
434 18.1456 3.06517 -0.114085
435 18.8795 3.06793 -0.113804
436 28.6324 3.07859 -0.110805
437 28.2059 3.07443 -0.105552
438 20.8562 3.0513 -0.113908
439 19.723 3.06511 -0.112248
440 20.3786 3.05984 -0.119775
441 18.9227 3.06643 -0.114837
442 29.254 3.07889 -0.11029
443 19.4492 3.0582 -0.109194
446 20.4639 3.06413 -0.116817
447 18.2738 3.06926 -0.111886
448 26.1159 3.07479 -0.109723
449 23.4118 3.07323 -0.10384
450 11.6356 3.14276 -0.212469
451 19.8326 3.06132 -0.108066
452 19.2226 3.07337 -0.119869
453 26.5169 3.07548 -0.107318
454 27.3175 3.08095 -0.106168
455 28.1968 3.08006 -0.113578
456 36.6341 3.08324 -0.119822
457 20.613 3.07381 -0.119642
458 19.9613 3.05692 -0.119287
459 19.8541 3.06219 -0.110582
460 20.2442 3.06425 -0.11341
461 19.451 3.07085 -0.109227
462 18.9147 3.06294 -0.115266
463 20.5881 3.05945 -0.110933
